Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross income,Rating,Datetime
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,Credit card,193.16,9.658,5.1,2019-03-15 10:12:00
183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,Ewallet,397.68,19.884,7.5,2019-02-06 10:42:00
232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,Ewallet,68.12,3.406,6.8,2019-01-07 12:28:00
129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,Ewallet,313.1,15.655,7.0,2019-03-10 19:15:00
272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,Ewallet,547.92,27.396,4.7,2019-01-15 17:17:00
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,Ewallet,439.36,21.968,7.6,2019-03-23 13:24:00
777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,Cash,240.96,12.048,7.7,2019-03-03 13:01:00
280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,86.72,4.336,7.9,2019-01-17 18:45:00
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,Cash,112.22,5.611,6.3,2019-02-02 10:11:00
354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,Cash,414.72,20.736,5.6,2019-02-08 13:03:00
228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,Cash,789.6,39.48,7.6,2019-03-04 20:39:00
617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,Cash,30.74,1.537,7.2,2019-03-16 19:47:00
132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,Cash,375.84,18.792,9.5,2019-03-09 18:00:00
370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,Credit card,510.21,25.5105,8.4,2019-02-27 17:24:00
727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,Ewallet,180.09,9.0045,4.1,2019-02-06 15:47:00
669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,Credit card,113.58,5.679,8.1,2019-02-10 12:45:00
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,Ewallet,826.3,41.315,7.9,2019-03-19 17:08:00
326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,Cash,639.8,31.99,9.5,2019-02-03 10:19:00
162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,Cash,222.95,11.1475,8.5,2019-02-10 15:10:00
616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,Ewallet,71.48,3.574,6.5,2019-03-22 14:42:00
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,Credit card,15.43,0.7715,6.1,2019-01-25 15:46:00
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,Ewallet,32.32,1.616,6.5,2019-03-07 11:49:00
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,Cash,687.84,34.392,8.2,2019-02-28 19:01:00
106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,Cash,88.68,4.434,5.8,2019-03-27 11:26:00
635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,Ewallet,716.8,35.84,6.6,2019-02-07 11:28:00
817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash,723.5,36.175,5.4,2019-01-20 15:55:00
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,Cash,183.66,9.183,9.3,2019-03-12 20:36:00
285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,Credit card,74.22,3.711,10.0,2019-02-15 17:47:00
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,Ewallet,334.38,16.719,7.0,2019-02-24 10:55:00
347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,Ewallet,495.63,24.7815,10.0,2019-02-03 13:40:00
199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,Credit card,158.1,7.905,8.6,2019-03-06 12:27:00
853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,Cash,302.96,15.148,7.6,2019-02-14 14:35:00
877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,Cash,158.7,7.935,5.8,2019-03-13 16:40:00
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,Ewallet,66.94,3.347,6.7,2019-02-10 15:43:00
109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,Ewallet,585.66,29.283,9.9,2019-01-07 15:01:00
232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,Cash,787.7,39.385,6.4,2019-01-24 10:04:00
382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,Cash,18.33,0.9165,4.3,2019-02-02 18:50:00
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,Credit card,894.8,44.74,9.6,2019-01-06 12:46:00
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,Cash,621.2,31.06,5.9,2019-02-11 16:19:00
510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,Ewallet,145.56,7.278,4.0,2019-03-05 18:17:00
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,Cash,455.46,22.773,8.7,2019-03-09 18:21:00
287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet,672.03,33.6015,9.4,2019-01-22 10:55:00
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,Credit card,416.5,20.825,5.4,2019-01-13 17:04:00
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,Credit card,441.36,22.068,8.6,2019-01-09 14:20:00
381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,180.09,9.0045,5.7,2019-01-12 15:48:00
829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,Ewallet,783.1,39.155,6.6,2019-03-05 16:24:00
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,Cash,101.9,5.095,6.0,2019-01-22 18:56:00
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,Credit card,595.14,29.757,5.5,2019-01-21 14:42:00
847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,Ewallet,290.04,14.502,6.4,2019-01-26 19:56:00
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,Ewallet,154.0,7.7,6.6,2019-01-23 18:37:00
787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,Credit card,321.44,16.072,8.3,2019-02-23 18:45:00
360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,Cash,244.55,12.2275,6.6,2019-03-09 10:17:00
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,Ewallet,581.42,29.071,4.0,2019-03-05 14:31:00
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,Cash,382.6,19.13,9.9,2019-03-25 10:23:00
633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,Credit card,345.66,17.283,7.3,2019-03-27 20:35:00
504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash,42.47,2.1235,5.7,2019-01-02 16:57:00
318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,Cash,461.94,23.097,6.1,2019-02-27 17:55:00
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,Cash,189.52,9.476,7.1,2019-01-23 10:25:00
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,Ewallet,448.6,22.43,8.2,2019-01-26 19:54:00
873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,Ewallet,153.86,7.693,5.1,2019-01-10 16:42:00
152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,Credit card,579.24,28.962,8.6,2019-03-12 12:09:00
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,Credit card,89.75,4.4875,6.6,2019-02-06 20:05:00
594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,Ewallet,97.16,4.858,7.2,2019-03-08 20:38:00
766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,Ewallet,878.7,43.935,5.1,2019-03-29 10:25:00
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,Cash,74.7,3.735,4.1,2019-02-09 13:11:00
865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,Ewallet,158.25,7.9125,9.3,2019-03-23 10:16:00
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,Cash,496.2,24.81,7.4,2019-03-05 18:14:00
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,Cash,48.71,2.4355,4.1,2019-03-26 19:20:00
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,Cash,706.95,35.3475,7.2,2019-03-01 13:22:00
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,Cash,207.63,10.3815,4.9,2019-02-01 11:27:00
212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,Cash,349.56,17.478,9.9,2019-03-28 16:44:00
716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,Cash,212.45,10.6225,8.0,2019-03-19 18:19:00
704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,Ewallet,886.7,44.335,7.3,2019-01-12 14:50:00
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,Credit card,164.28,8.214,7.9,2019-01-05 20:54:00
630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,Cash,372.78,18.639,7.4,2019-03-22 20:19:00
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,Cash,305.82,15.291,4.2,2019-03-24 10:43:00
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,Cash,819.7,40.985,9.2,2019-03-03 14:30:00
479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,Ewallet,32.98,1.649,4.6,2019-02-05 11:32:00
210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,Credit card,294.63,14.7315,7.8,2019-02-05 10:41:00
227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,Cash,509.88,25.494,8.4,2019-02-15 12:44:00
645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet,522.63,26.1315,4.3,2019-01-19 20:07:00
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card,727.11,36.3555,9.5,2019-02-01 20:31:00
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,Credit card,81.06,4.053,7.1,2019-03-02 13:01:00
291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,Ewallet,109.7,5.485,5.3,2019-03-05 12:29:00
659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,Ewallet,51.36,2.568,5.2,2019-01-16 15:26:00
642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,Ewallet,109.6,5.48,6.0,2019-02-02 20:48:00
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,Ewallet,106.88,5.344,4.1,2019-01-20 20:38:00
638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,Credit card,796.48,39.824,5.2,2019-02-14 17:03:00
659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,Credit card,399.84,19.992,6.5,2019-01-12 12:02:00
219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,Credit card,899.64,44.982,4.2,2019-03-09 17:26:00
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,Credit card,511.28,25.564,4.6,2019-03-13 19:52:00
268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,Ewallet,451.76,22.588,7.3,2019-03-09 14:57:00
668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card,655.83,32.7915,4.5,2019-03-10 18:44:00
870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash,161.25,8.0625,9.0,2019-01-27 13:26:00
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,Credit card,285.57,14.2785,5.9,2019-01-08 16:17:00
663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,Ewallet,548.32,27.416,8.5,2019-01-08 15:57:00
549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,Ewallet,812.52,40.626,7.2,2019-02-08 11:15:00
191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,Cash,277.34,13.867,7.5,2019-01-25 13:18:00
802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,Cash,552.78,27.639,8.3,2019-03-06 20:34:00
695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,Cash,139.36,6.968,7.4,2019-02-10 18:36:00
590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,Credit card,524.7,26.235,8.8,2019-02-17 14:40:00
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,Ewallet,487.8,24.39,5.3,2019-03-08 16:43:00
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,Cash,270.66,13.533,6.2,2019-02-18 19:39:00
700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card,131.55,6.5775,8.8,2019-01-18 20:59:00
354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,Cash,206.52,10.326,9.8,2019-02-18 15:39:00
241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,Cash,519.1,25.955,8.2,2019-02-16 12:21:00
575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,Ewallet,580.0,29.0,9.2,2019-03-16 19:25:00
731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,Credit card,898.0,44.9,5.4,2019-01-23 13:00:00
280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,Cash,905.0,45.25,8.1,2019-01-25 13:48:00
338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,Cash,686.0,34.3,9.1,2019-02-05 19:57:00
488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,Credit card,30.41,1.5205,8.4,2019-02-22 10:36:00
239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,Ewallet,467.7,23.385,8.0,2019-01-21 16:37:00
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,Credit card,277.56,13.878,9.5,2019-03-08 17:11:00
685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,Ewallet,301.4,15.07,9.2,2019-02-10 12:28:00
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,Credit card,264.56,13.228,5.6,2019-03-19 12:46:00
262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,Credit card,574.88,28.744,6.2,2019-03-06 15:07:00
238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,Credit card,259.68,12.984,4.9,2019-03-27 13:48:00
608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,Credit card,366.16,18.308,4.8,2019-03-23 19:20:00
584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,Credit card,241.92,12.096,7.3,2019-03-11 16:07:00
746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,Credit card,749.16,37.458,7.4,2019-01-29 11:56:00
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,Ewallet,98.88,4.944,9.9,2019-02-07 18:23:00
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,Cash,647.76,32.388,9.3,2019-01-28 13:05:00
782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,Credit card,461.45,23.0725,9.0,2019-02-20 15:55:00
279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash,72.17,3.6085,6.1,2019-01-04 19:40:00
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,Ewallet,251.4,12.57,9.7,2019-03-07 13:58:00
743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,Ewallet,874.98,43.749,6.0,2019-03-30 14:43:00
423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,Ewallet,560.34,28.017,10.0,2019-03-27 19:18:00
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,Credit card,345.44,17.272,8.3,2019-01-19 19:39:00
275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,Cash,63.69,3.1845,6.0,2019-02-25 16:21:00
101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,Credit card,320.53,16.0265,7.0,2019-03-13 19:44:00
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,Ewallet,152.8,7.64,6.5,2019-01-30 19:42:00
548-46-9322,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,Credit card,399.0,19.95,5.9,2019-02-20 15:24:00
505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,Ewallet,340.56,17.028,5.6,2019-02-25 14:12:00
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,Cash,955.8,47.79,4.8,2019-01-16 13:32:00
687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,Credit card,989.8,49.49,8.7,2019-02-08 16:20:00
796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,Cash,307.68,15.384,6.5,2019-01-19 16:31:00
105-31-1824,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,Credit card,486.64,24.332,8.5,2019-02-01 15:10:00
249-42-3782,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,Ewallet,350.05,17.5025,5.5,2019-01-03 11:36:00
316-55-4634,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,Credit card,400.25,20.0125,9.4,2019-01-26 12:45:00
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,Cash,166.8,8.34,6.3,2019-03-03 19:17:00
608-27-6295,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,Credit card,317.34,15.867,9.8,2019-01-19 17:34:00
414-12-7047,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,Ewallet,158.32,7.916,8.7,2019-01-18 12:04:00
827-26-2100,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,Ewallet,304.56,15.228,8.8,2019-03-21 16:21:00
175-54-2529,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,Credit card,177.36,8.868,9.6,2019-03-03 17:01:00
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,Credit card,157.57,7.8785,4.8,2019-02-13 10:50:00
407-63-8975,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,Ewallet,443.28,22.164,4.4,2019-03-23 19:16:00
342-65-4817,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,Ewallet,260.4,13.02,9.9,2019-01-28 16:47:00
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,Cash,449.82,22.491,5.7,2019-02-09 10:00:00
434-83-9547,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.148,Cash,307.76,15.388,7.7,2019-01-23 11:51:00
851-28-6367,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,Ewallet,155.0,7.75,8.0,2019-03-23 10:55:00
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,Ewallet,274.48,13.724,5.7,2019-01-25 15:00:00
586-25-0848,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,Credit card,86.38,4.319,6.7,2019-03-04 11:19:00
895-66-0685,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.952,Ewallet,54.24,2.712,8.0,2019-03-05 19:46:00
305-14-0245,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,Ewallet,755.92,37.796,7.5,2019-03-03 19:00:00
732-04-5373,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,Cash,185.88,9.294,7.0,2019-02-08 10:53:00
400-60-7251,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,Ewallet,74.07,3.7035,9.9,2019-02-10 12:50:00
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,Credit card,279.24,13.962,5.9,2019-01-28 20:50:00
284-34-9626,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,Credit card,231.12,11.556,7.2,2019-02-11 10:39:00
437-58-8131,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,Ewallet,147.04,7.352,4.6,2019-01-15 13:41:00
